No;Title;Year;Genre;Origin;Director;Star;IMDB link
1;The Shawshank Redemption;1994;Drama;USA;Frank Darabont;Tim Robbins;https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_FMjpg_UX1000_.jpg
2;The Godfather;1972;Drama;USA;Francis Ford Coppola;Marlon Brando;https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
3;The Godfather: Part II;1974;Drama;USA;Francis Ford Coppola;Al Pacino;https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg
4;The Dark Knight;2008;Drama;USA;Christopher Nolan;Christian Bale;https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_FMjpg_UX1000_.jpg
5;12 Angry Men;1957;Drama;USA;Sidney Lumet;Henry Fonda;https://upload.wikimedia.org/wikipedia/commons/b/b5/12_Angry_Men_%281957_film_poster%29.jpg
6;Schindler's List;1993;Drama;USA;Steven Spielberg;Liam Neeson;https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
7;The Lord of the Rings: The Return of the King;2003;Fantasy;USA;Peter Jackson;Elijah Wood;https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
8;Pulp Fiction;1994;Drama;USA;Quentin Tarantino;John Travolta;https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg
9;Il buono, il brutto, il cattivo;1966;Western;West Germany;Sergio Leone;Clint Eastwood;https://mr.comingsoon.it/imgdb/locandine/big/7360.jpg
10;Fight Club;1999;Drama;USA;David Fincher;Brad Pitt;https://ares.shiftdelete.net/2022/01/fight-club-2022.jpg
11;The Lord of the Rings: The Fellowship of the Ring;2001;Fantasy;USA;Peter Jackson;Elijah Wood;https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_FMjpg_UX1000_.jpg
12;Forrest Gump;1994;Drama;USA;Robert Zemeckis;Tom Hanks;https://tr.web.img4.acsta.net/pictures/bzp/01/10568.jpg
13;Star Wars: Episode V - The Empire Strikes Back;1980;Fantasy;USA;Irvin Kershner;Mark Hamill;https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg
14;Inception;2010;Adventure;USA;Christopher Nolan;Leonardo DiCaprio;https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg
